s2_token,geometry,confidence_threshold_80%_precision,confidence_threshold_85%_precision,confidence_threshold_90%_precision,building_count_80%_precision,building_count_85%_precision,building_count_90%_precision,building_count,num_samples
933,"POLYGON ((-50.01876534108111 -8.175896074358709, -50.01876534108111 -12.81566331979315, -45 -11.85551661629703, -45 -7.552372279897661, -50.01876534108111 -8.175896074358709))",0.742,0.784,0.838,783235,654674,421537,1011172,792
b5b,"POLYGON ((38.50065372034543 -48.70131507598031, 45 -45.80546848134384, 39.34749651428972 -42.68268396435615, 33.11134196037203 -44.96817331739243, 38.50065372034543 -48.70131507598031))",0.819,0.819,0.880,29,29,10,153,105
0f1,"POLYGON ((-16.53483785734516 4.851647556935838, -10.61965527615514 4.973642825000524, -10.61965527615513 10.44179817172576, -16.53483785734515 10.18989264617986, -16.53483785734516 4.851647556935838))",0.671,0.719,0.772,3263031,2777636,2175820,3463864,26259
841,"POLYGON ((-112.6198649480404 21.03751102542181, -112.6198649480404 15.32501998539171, -106.5348378573452 15.88626236166589, -106.5348378573452 21.77355606643973, -112.6198649480404 21.03751102542181))",0.832,0.832,0.832,514,514,514,1386,1
23f,"POLYGON ((61.326853510565 -20.08096213071963, 67.38013505195958 -21.03751102542181, 67.38013505195958 -15.32501998539171, 61.326853510565 -14.59941342503042, 61.326853510565 -20.08096213071963))",0.658,0.658,0.682,28750,28750,26637,29418,406
8c5,"POLYGON ((-61.326853510565 14.59941342503042, -61.326853510565 9.341889685888818, -55.4914770123316 8.783194988097531, -55.4914770123316 13.74670252512002, -61.326853510565 14.59941342503042))",0.716,0.774,0.837,585085,471508,314447,697057,1503
bc5,"POLYGON ((-74.74488129694222 -54.52596135026464, -71.07535558394876 -59.96671956400486, -61.50436138175503 -58.10766364662543, -66.64443514071399 -53.17193519487547, -74.74488129694222 -54.52596135026464))",0.762,0.806,0.836,64741,44589,28744,103669,4444
183,"POLYGON ((34.5085229876684 -4.173022773894666, 39.98123465891889 -3.881312186924027, 39.98123465891889 0, 34.5085229876684 0, 34.5085229876684 -4.173022773894666))",0.667,0.716,0.778,16954590,13814959,8932644,17871082,43089
965,"POLYGON ((-79.38034472384487 -34.04786296943432, -79.38034472384487 -39.49464011274421, -73.46516214265485 -38.79459515585769, -73.46516214265485 -33.38766721236327, -79.38034472384487 -34.04786296943432))",0.761,0.784,0.784,30631,25340,25340,47957,26
0e5,"POLYGON ((-10.61965527615513 10.44179817172576, -5.059868846264117 10.57920733737058, -5.059868846264116 16.47390220016713, -10.61965527615513 16.26672649011948, -10.61965527615513 10.44179817172576))",0.651,0.689,0.758,1215560,1093070,774585,1218888,26026
85b,"POLYGON ((-100.6196552761551 16.26672649011948, -100.6196552761551 10.44179817172576, -95.05986884626412 10.57920733737058, -95.05986884626412 16.47390220016713, -100.6196552761551 16.26672649011948))",0.699,0.721,0.773,677090,605771,416885,826455,377
1c1,"POLYGON ((16.53483785734515 -27.66622518241585, 22.61986494804042 -26.7849955075022, 22.61986494804042 -21.03751102542181, 16.53483785734516 -21.77355606643973, 16.53483785734515 -27.66622518241585))",0.764,0.801,0.887,378629,273489,52067,602396,5915
165,"POLYGON ((34.5085229876684 8.783194988097531, 39.98123465891889 8.175896074358709, 39.98123465891889 12.81566331979315, 34.5085229876684 13.74670252512002, 34.5085229876684 8.783194988097531))",0.664,0.707,0.767,16087714,14030531,10748108,16710354,34954
32f,"POLYGON ((124.5085229876684 4.173022773894666, 129.9812346589189 3.881312186924027, 129.9812346589189 8.175896074358709, 124.5085229876684 8.783194988097531, 124.5085229876684 4.173022773894666))",0.716,0.766,0.830,3804137,2564393,1082048,5189632,3361
11b,"POLYGON ((5.059868846264117 10.57920733737058, 10.61965527615513 10.44179817172576, 10.61965527615513 16.26672649011948, 5.059868846264116 16.47390220016713, 5.059868846264117 10.57920733737058))",0.707,0.751,0.799,17469199,12471317,6850531,23356991,35706
8e7,"POLYGON ((-73.46516214265485 10.18989264617986, -73.46516214265485 4.851647556935838, -67.38013505195957 4.67244275538945, -67.38013505195958 9.8193006387579, -73.46516214265485 10.18989264617986))",0.749,0.791,0.832,4082143,2980650,1827274,6021057,7356
2db,"POLYGON ((118.673146489435 -9.341889685888818, 124.5085229876684 -8.783194988097531, 124.5085229876684 -4.173022773894666, 118.673146489435 -4.442038523400337, 118.673146489435 -9.341889685888818))",0.732,0.790,0.836,3392975,2342304,1319387,4491013,3289
8ed,"POLYGON ((-79.38034472384487 22.27057548800819, -79.38034472384487 16.26672649011948, -73.46516214265485 15.88626236166589, -73.46516214265485 21.77355606643973, -79.38034472384487 22.27057548800819))",0.700,0.760,0.822,3663985,2480714,1235224,4561205,7716
1ef,"POLYGON ((28.67314648943499 -31.09807140426155, 34.5085229876684 -29.53280370582265, 34.5085229876684 -24.25860976441469, 28.67314648943499 -25.63226655107013, 28.67314648943499 -31.09807140426155))",0.729,0.768,0.811,12561574,9958103,6400306,16301046,61579
39f,"POLYGON ((84.94013115373588 22.54054940194471, 90 22.61986494804042, 90 28.67314648943499, 84.94013115373588 28.57906855098932, 84.94013115373588 22.54054940194471))",0.707,0.742,0.789,64581641,49119609,28747341,87929503,39015
1bf,"POLYGON ((16.53483785734516 -21.77355606643973, 22.61986494804042 -21.03751102542181, 22.61986494804043 -15.32501998539171, 16.53483785734515 -15.88626236166589, 16.53483785734516 -21.77355606643973))",0.652,0.692,0.738,733529,612711,445244,740080,2880
92d,"POLYGON ((-50.01876534108111 -3.881312186924027, -50.01876534108111 -8.175896074358709, -45 -7.552372279897661, -45 -3.582521766172679, -50.01876534108111 -3.881312186924027))",0.727,0.773,0.835,1963685,1646664,1018251,2405694,2041
8c7,"POLYGON ((-61.326853510565 20.08096213071963, -61.326853510565 14.59941342503042, -55.4914770123316 13.74670252512002, -55.49147701233161 18.9499500044539, -61.326853510565 20.08096213071963))",0.701,0.784,0.854,247023,178982,108227,283376,499
17d,"POLYGON ((39.98123465891889 3.881312186924027, 45 3.582521766172679, 45 7.552372279897661, 39.98123465891889 8.175896074358709, 39.98123465891889 3.881312186924027))",0.651,0.682,0.741,1229388,1104914,822402,1233213,3376
15b,"POLYGON ((34.5085229876684 24.25860976441469, 39.98123465891889 22.73590953009369, 39.98123465891889 27.78027316318915, 34.5085229876684 29.53280370582265, 34.5085229876684 24.25860976441469))",0.768,0.809,0.816,11205,8046,7554,20611,4715
2d5,"POLYGON ((129.9812346589189 -3.881312186924027, 135 -3.582521766172679, 135 0, 129.9812346589189 0, 129.9812346589189 -3.881312186924027))",0.655,0.655,0.655,44760,44760,44760,45447,171
865,"POLYGON ((-100.6196552761551 34.04786296943432, -100.6196552761551 28.25839533868567, -95.05986884626412 28.57906855098932, -95.05986884626412 34.40415724063815, -100.6196552761551 34.04786296943432))",0.678,0.721,0.789,162961,140178,93871,176981,15535
17f,"POLYGON ((39.98123465891889 0, 45 0, 45 3.582521766172679, 39.98123465891889 3.881312186924027, 39.98123465891889 0))",0.657,0.704,0.750,1043007,844269,609210,1068866,3830
967,"POLYGON ((-73.46516214265485 -33.38766721236327, -73.46516214265485 -38.79459515585769, -67.38013505195957 -37.74124916352239, -67.38013505195958 -32.39984017391932, -73.46516214265485 -33.38766721236327))",0.799,0.834,0.977,4003840,2408507,81,9564744,40902
3a1,"POLYGON ((84.94013115373588 16.47390220016713, 90 16.53483785734516, 90 22.61986494804042, 84.94013115373588 22.54054940194471, 84.94013115373588 16.47390220016713))",0.719,0.760,0.824,12672253,8848733,3499869,18843400,3497
171,"POLYGON ((28.67314648943499 4.442038523400337, 34.5085229876684 4.173022773894666, 34.5085229876684 8.783194988097531, 28.67314648943499 9.341889685888818, 28.67314648943499 4.442038523400337))",0.651,0.704,0.750,1552505,1259446,928918,1558328,6386
8d1,"POLYGON ((-55.4914770123316 8.783194988097531, -55.4914770123316 4.173022773894666, -50.01876534108111 3.881312186924027, -50.01876534108111 8.175896074358709, -55.4914770123316 8.783194988097531))",0.659,0.721,0.808,522343,435769,293583,533992,2369
009,"POLYGON ((-45 -25.92605088194581, -39.98123465891889 -27.78027316318915, -39.98123465891889 -22.73590953009369, -45 -21.14143744584222, -45 -25.92605088194581))",0.755,0.806,0.863,5134463,3377327,1316771,8021266,9210
1dd,"POLYGON ((16.53483785734516 -38.79459515585769, 22.61986494804043 -37.74124916352239, 22.61986494804043 -32.39984017391932, 16.53483785734516 -33.38766721236327, 16.53483785734516 -38.79459515585769))",0.781,0.824,0.961,1742893,1142345,1145,3294194,19439
95d,"POLYGON ((-67.38013505195958 -32.39984017391932, -67.38013505195957 -37.74124916352239, -61.32685351056502 -36.34237313080051, -61.326853510565 -31.09807140426155, -67.38013505195958 -32.39984017391932))",0.770,0.807,0.859,1705365,1149509,441722,3093036,5383
3b7,"POLYGON ((67.38013505195957 4.67244275538945, 73.46516214265485 4.851647556935838, 73.46516214265485 10.18989264617986, 67.38013505195958 9.8193006387579, 67.38013505195957 4.67244275538945))",0.685,0.772,0.785,56555,37866,34739,63186,132
8f3,"POLYGON ((-84.94013115373588 22.54054940194471, -84.94013115373588 16.47390220016713, -79.38034472384487 16.26672649011948, -79.38034472384487 22.27057548800819, -84.94013115373588 22.54054940194471))",0.729,0.773,0.834,461960,338587,166677,658323,1429
3a3,"POLYGON ((79.38034472384487 16.26672649011948, 84.94013115373588 16.47390220016713, 84.94013115373588 22.54054940194471, 79.38034472384487 22.27057548800819, 79.38034472384487 16.26672649011948))",0.708,0.743,0.802,25957455,21016096,11932453,33331493,3287
0d9,"POLYGON ((-5.059868846264117 28.57906855098932, 0 28.67314648943499, 0 34.5085229876684, -5.059868846264117 34.40415724063815, -5.059868846264117 28.57906855098932))",0.828,0.919,0.954,111341,8931,550,325617,10909
22f,"POLYGON ((50.01876534108111 -8.175896074358709, 55.4914770123316 -8.783194988097531, 55.4914770123316 -4.173022773894666, 50.01876534108111 -3.881312186924027, 50.01876534108111 -8.175896074358709))",0.664,0.721,0.779,25217,21603,17024,26072,1393
2d1,"POLYGON ((124.5085229876684 -8.783194988097531, 129.9812346589189 -8.175896074358709, 129.9812346589189 -3.881312186924027, 124.5085229876684 -4.173022773894666, 124.5085229876684 -8.783194988097531))",0.656,0.723,0.814,378296,297515,152399,385314,455
923,"POLYGON ((-67.38013505195957 -4.67244275538945, -67.38013505195958 -9.8193006387579, -61.326853510565 -9.341889685888818, -61.326853510565 -4.442038523400337, -67.38013505195957 -4.67244275538945))",0.689,0.717,0.755,495934,457369,397453,549379,235
869,"POLYGON ((-106.5348378573452 27.66622518241585, -106.5348378573452 21.77355606643973, -100.6196552761551 22.27057548800819, -100.6196552761551 28.25839533868567, -106.5348378573452 27.66622518241585))",0.794,0.829,0.866,2698654,1535222,639572,6616622,7514
931,"POLYGON ((-55.4914770123316 -8.783194988097531, -55.4914770123316 -13.74670252512002, -50.01876534108111 -12.81566331979315, -50.01876534108111 -8.175896074358709, -55.4914770123316 -8.783194988097531))",0.681,0.757,0.790,449084,337402,279362,495926,340
843,"POLYGON ((-106.5348378573452 21.77355606643973, -106.5348378573452 15.88626236166589, -100.6196552761551 16.26672649011948, -100.6196552761551 22.27057548800819, -106.5348378573452 21.77355606643973))",0.843,0.887,0.975,3085734,940285,408,17536895,13102
1e5,"POLYGON ((28.67314648943499 -36.34237313080051, 34.5085229876684 -34.64422054710851, 34.5085229876684 -29.53280370582265, 28.67314648943499 -31.09807140426155, 28.67314648943499 -36.34237313080051))",0.687,0.734,0.776,1549100,1371153,1126136,1655938,7169
113,"POLYGON ((16.53483785734515 10.18989264617986, 22.61986494804043 9.8193006387579, 22.61986494804043 15.32501998539171, 16.53483785734515 15.88626236166589, 16.53483785734515 10.18989264617986))",0.817,0.834,0.848,70734,39817,22816,562475,6439
1eb,"POLYGON ((22.61986494804042 -26.7849955075022, 28.67314648943499 -25.63226655107013, 28.67314648943499 -20.08096213071963, 22.61986494804042 -21.03751102542181, 22.61986494804042 -26.7849955075022))",0.748,0.791,0.833,4425676,3339623,2086147,6048753,35787
2c5,"POLYGON ((118.673146489435 -14.59941342503042, 124.5085229876684 -13.74670252512002, 124.5085229876684 -8.783194988097531, 118.673146489435 -9.341889685888818, 118.673146489435 -14.59941342503042))",0.651,0.714,0.752,1210068,979276,822627,1214795,468
937,"POLYGON ((-55.4914770123316 -13.74670252512002, -55.49147701233161 -18.9499500044539, -50.01876534108111 -17.70687285471333, -50.01876534108111 -12.81566331979315, -55.4914770123316 -13.74670252512002))",0.755,0.786,0.828,1293423,1087012,752141,1854151,1761
311,"POLYGON ((100.6196552761551 10.44179817172576, 106.5348378573452 10.18989264617986, 106.5348378573452 15.88626236166589, 100.6196552761551 16.26672649011948, 100.6196552761551 10.44179817172576))",0.752,0.807,0.869,24012817,16074280,5704904,34450503,34458
075,"POLYGON ((-45 -16.41644037358546, -39.98123465891889 -17.70687285471333, -39.98123465891889 -12.81566331979315, -45 -11.85551661629703, -45 -16.41644037358546))",0.675,0.733,0.787,3512145,2885157,2226045,3766861,1710
19f,"POLYGON ((22.61986494804043 -4.67244275538945, 28.67314648943499 -4.442038523400337, 28.67314648943499 0, 22.61986494804042 0, 22.61986494804043 -4.67244275538945))",0.651,0.651,0.670,1449937,1449937,1368647,1452725,3330
095,"POLYGON ((-28.67314648943499 14.59941342503042, -22.61986494804043 15.32501998539171, -22.61986494804042 21.03751102542181, -28.67314648943499 20.08096213071963, -28.67314648943499 14.59941342503042))",0.826,0.905,0.909,27874,2714,2257,115799,3238
071,"POLYGON ((-39.98123465891889 -12.81566331979315, -34.5085229876684 -13.74670252512002, -34.5085229876684 -8.783194988097531, -39.98123465891889 -8.175896074358709, -39.98123465891889 -12.81566331979315))",0.745,0.795,0.834,5104445,3698796,2289919,6960353,4725
8fb,"POLYGON ((-84.94013115373588 10.57920733737058, -84.94013115373588 5.040252729758283, -79.38034472384487 4.973642825000524, -79.38034472384487 10.44179817172576, -84.94013115373588 10.57920733737058))",0.750,0.813,0.856,3481987,2312364,1319977,4816809,13531
3a5,"POLYGON ((79.38034472384487 10.44179817172576, 84.94013115373588 10.57920733737058, 84.94013115373588 16.47390220016713, 79.38034472384487 16.26672649011948, 79.38034472384487 10.44179817172576))",0.707,0.840,0.896,9441469,2259881,326162,11867547,1167
21f,"POLYGON ((45 -21.14143744584222, 50.01876534108111 -22.73590953009369, 50.01876534108111 -17.70687285471333, 45 -16.41644037358546, 45 -21.14143744584222))",0.660,0.701,0.754,4859488,4096920,2942302,5037928,29917
929,"POLYGON ((-55.49147701233161 0, -55.4914770123316 -4.173022773894666, -50.01876534108111 -3.881312186924027, -50.01876534108111 0, -55.49147701233161 0))",0.682,0.748,0.803,747875,600297,433001,812272,628
927,"POLYGON ((-61.32685351056502 0, -61.326853510565 -4.442038523400337, -55.4914770123316 -4.173022773894666, -55.49147701233161 0, -61.32685351056502 0))",0.682,0.749,0.815,1463586,1144597,711745,1603275,1444
8f1,"POLYGON ((-84.94013115373588 16.47390220016713, -84.94013115373588 10.57920733737058, -79.38034472384487 10.44179817172576, -79.38034472384487 16.26672649011948, -84.94013115373588 16.47390220016713))",0.653,0.707,0.773,430596,356392,243274,434782,217
107,"POLYGON ((5.059868846264117 0, 10.61965527615513 0, 10.61965527615514 4.973642825000524, 5.059868846264116 5.040252729758283, 5.059868846264117 0))",0.679,0.722,0.783,3529265,3092331,2401196,3810153,25310
8d7,"POLYGON ((-55.4914770123316 4.173022773894666, -55.49147701233161 0, -50.01876534108111 0, -50.01876534108111 3.881312186924027, -55.4914770123316 4.173022773894666))",0.657,0.693,0.725,266222,240906,216315,271327,96
111,"POLYGON ((10.61965527615513 10.44179817172576, 16.53483785734515 10.18989264617986, 16.53483785734515 15.88626236166589, 10.61965527615513 16.26672649011948, 10.61965527615513 10.44179817172576))",0.695,0.738,0.789,4700631,3352756,1824773,5958703,26941
8df,"POLYGON ((-67.38013505195957 4.67244275538945, -67.38013505195958 0, -61.32685351056502 0, -61.326853510565 4.442038523400337, -67.38013505195957 4.67244275538945))",0.806,0.806,0.807,8808,8808,8689,22806,34
23b,"POLYGON ((55.4914770123316 -13.74670252512002, 61.326853510565 -14.59941342503042, 61.326853510565 -9.341889685888818, 55.4914770123316 -8.783194988097531, 55.4914770123316 -13.74670252512002))",0.745,0.745,0.745,297,297,297,445,14
96f,"POLYGON ((-79.38034472384487 -28.25839533868567, -79.38034472384487 -34.04786296943432, -73.46516214265485 -33.38766721236327, -73.46516214265485 -27.66622518241585, -79.38034472384487 -28.25839533868567))",0.727,0.727,0.727,631,631,631,726,4
951,"POLYGON ((-55.4914770123316 -29.53280370582265, -55.4914770123316 -34.64422054710851, -50.01876534108111 -32.72223246694561, -50.01876534108111 -27.78027316318915, -55.4914770123316 -29.53280370582265))",0.716,0.777,0.840,6087090,4577504,2517283,7438931,5272
125,"POLYGON ((5.059868846264117 28.57906855098932, 10.61965527615513 28.25839533868567, 10.61965527615513 34.04786296943432, 5.059868846264117 34.40415724063815, 5.059868846264117 28.57906855098932))",0.841,0.941,0.950,419233,5088,1896,1588658,14105
2e7,"POLYGON ((106.5348378573452 -10.18989264617986, 112.6198649480404 -9.8193006387579, 112.6198649480404 -4.67244275538945, 106.5348378573452 -4.851647556935838, 106.5348378573452 -10.18989264617986))",0.781,0.820,0.861,32835078,20240114,7711718,60037154,63313
957,"POLYGON ((-55.4914770123316 -34.64422054710851, -55.4914770123316 -39.48995323591252, -50.01876534108111 -37.46131872906794, -50.01876534108111 -32.72223246694561, -55.4914770123316 -34.64422054710851))",0.719,0.775,0.850,243404,169597,56885,315672,809
391,"POLYGON ((73.46516214265485 27.66622518241585, 79.38034472384487 28.25839533868567, 79.38034472384487 34.04786296943432, 73.46516214265485 33.38766721236327, 73.46516214265485 27.66622518241585))",0.801,0.839,0.875,24094035,12433670,4581166,73380259,24485
2df,"POLYGON ((112.6198649480404 -4.67244275538945, 118.673146489435 -4.442038523400337, 118.673146489435 0, 112.6198649480404 0, 112.6198649480404 -4.67244275538945))",0.726,0.771,0.810,3367954,2640588,1832218,4264385,2871
15d,"POLYGON ((34.5085229876684 18.9499500044539, 39.98123465891889 17.70687285471333, 39.98123465891889 22.73590953009369, 34.5085229876684 24.25860976441469, 34.5085229876684 18.9499500044539))",0.787,0.813,0.849,228631,144178,63830,661137,13430
327,"POLYGON ((118.673146489435 0, 124.5085229876684 0, 124.5085229876684 4.173022773894666, 118.673146489435 4.442038523400337, 118.673146489435 0))",0.708,0.767,0.812,1144982,847669,546625,1375672,1835
319,"POLYGON ((106.5348378573452 4.851647556935838, 112.6198649480404 4.67244275538945, 112.6198649480404 9.8193006387579, 106.5348378573452 10.18989264617986, 106.5348378573452 4.851647556935838))",0.803,0.850,0.850,113695,42547,42547,278718,136
16f,"POLYGON ((28.67314648943499 9.341889685888818, 34.5085229876684 8.783194988097531, 34.5085229876684 13.74670252512002, 28.67314648943499 14.59941342503042, 28.67314648943499 9.341889685888818))",0.783,0.806,0.838,2545848,1632690,657809,6203741,12076
119,"POLYGON ((5.059868846264116 16.47390220016713, 10.61965527615513 16.26672649011948, 10.61965527615513 22.27057548800819, 5.059868846264117 22.54054940194471, 5.059868846264116 16.47390220016713))",0.735,0.799,0.838,218059,100722,51312,365709,2900
177,"POLYGON ((28.67314648943499 0, 34.5085229876684 0, 34.5085229876684 4.173022773894666, 28.67314648943499 4.442038523400337, 28.67314648943499 0))",0.650,0.661,0.711,19941571,19253719,15849937,19944639,51111
375,"POLYGON ((90 22.61986494804042, 95.05986884626412 22.54054940194471, 95.05986884626412 28.57906855098932, 90 28.67314648943499, 90 22.61986494804042))",0.704,0.747,0.795,28949087,20728736,11883430,38753840,28180
18d,"POLYGON ((34.5085229876684 -18.9499500044539, 39.98123465891889 -17.70687285471333, 39.98123465891889 -12.81566331979315, 34.5085229876684 -13.74670252512002, 34.5085229876684 -18.9499500044539))",0.650,0.650,0.700,9432719,9432719,8104198,9433904,19844
1bb,"POLYGON ((10.61965527615513 -16.26672649011948, 16.53483785734515 -15.88626236166589, 16.53483785734515 -10.18989264617986, 10.61965527615513 -10.44179817172576, 10.61965527615513 -16.26672649011948))",0.665,0.714,0.780,4484130,3600606,2099870,4716883,17517
