s2_token,geometry,confidence_threshold_80%_precision,confidence_threshold_85%_precision,confidence_threshold_90%_precision,building_count_80%_precision,building_count_85%_precision,building_count_90%_precision,building_count,num_samples
be9,"POLYGON ((-58.78159723565363 -51.20393553160921, -52.69605172201657 -55.49070946377213, -45 -52.28170368578864, -51.49934627965457 -48.70131507598031, -58.78159723565363 -51.20393553160921))",0.724,0.724,0.774,3836,3836,2571,5634,32
197,"POLYGON ((22.61986494804043 -15.32501998539171, 28.67314648943499 -14.59941342503042, 28.67314648943499 -9.341889685888818, 22.61986494804043 -9.8193006387579, 22.61986494804043 -15.32501998539171))",0.663,0.721,0.774,4028535,3240531,2304790,4182712,19339
86d,"POLYGON ((-112.6198649480404 32.39984017391932, -112.6198649480404 26.7849955075022, -106.5348378573452 27.66622518241585, -106.5348378573452 33.38766721236327, -112.6198649480404 32.39984017391932))",0.770,0.813,0.853,1595185,1064724,546508,2616401,5210
939,"POLYGON ((-61.326853510565 -14.59941342503042, -61.326853510565 -20.08096213071963, -55.49147701233161 -18.9499500044539, -55.4914770123316 -13.74670252512002, -61.326853510565 -14.59941342503042))",0.765,0.805,0.841,1092367,826246,544522,1648865,1480
3b5,"POLYGON ((67.38013505195958 0, 73.46516214265485 0, 73.46516214265485 4.851647556935838, 67.38013505195957 4.67244275538945, 67.38013505195958 0))",0.683,0.683,0.711,43399,43399,39243,48075,88
179,"POLYGON ((34.5085229876684 0, 39.98123465891889 0, 39.98123465891889 3.881312186924027, 34.5085229876684 4.173022773894666, 34.5085229876684 0))",0.674,0.730,0.768,6113957,4675625,3463694,6627869,12281
685,"POLYGON ((140.0187653410811 -3.881312186924027, 140.0187653410811 -8.175896074358709, 145.4914770123316 -8.783194988097531, 145.4914770123316 -4.173022773894666, 140.0187653410811 -3.881312186924027))",0.703,0.703,0.703,37907,37907,37907,46273,950
0e9,"POLYGON ((-16.53483785734515 15.88626236166589, -10.61965527615513 16.26672649011948, -10.61965527615513 22.27057548800819, -16.53483785734516 21.77355606643973, -16.53483785734515 15.88626236166589))",0.685,0.733,0.782,1766703,1424652,993769,1989576,16778
3d9,"POLYGON ((45 7.552372279897661, 50.01876534108111 8.175896074358709, 50.01876534108111 12.81566331979315, 45 11.85551661629703, 45 7.552372279897661))",0.742,0.786,0.876,310025,211855,46054,499894,3598
92b,"POLYGON ((-50.01876534108111 0, -50.01876534108111 -3.881312186924027, -45 -3.582521766172679, -45 0, -50.01876534108111 0))",0.722,0.773,0.821,2453456,1971214,1315300,2990664,3361
2fd,"POLYGON ((95.05986884626412 -5.040252729758283, 100.6196552761551 -4.973642825000524, 100.6196552761551 0, 95.05986884626412 0, 95.05986884626412 -5.040252729758283))",0.723,0.766,0.828,1076772,850656,447695,1371848,2614
95f,"POLYGON ((-67.38013505195957 -37.74124916352239, -67.38013505195957 -42.70938995736147, -61.32685351056502 -41.26277996400312, -61.32685351056502 -36.34237313080051, -67.38013505195957 -37.74124916352239))",0.767,0.798,0.816,514202,365327,281023,954081,7643
687,"POLYGON ((140.0187653410811 0, 140.0187653410811 -3.881312186924027, 145.4914770123316 -4.173022773894666, 145.4914770123316 0, 140.0187653410811 0))",0.787,0.805,0.838,112119,91889,56976,227106,1421
31f,"POLYGON ((106.5348378573452 0, 112.6198649480404 0, 112.6198649480404 4.67244275538945, 106.5348378573452 4.851647556935838, 106.5348378573452 0))",0.821,0.854,0.945,828447,480914,7344,2173671,3693
867,"POLYGON ((-100.6196552761551 28.25839533868567, -100.6196552761551 22.27057548800819, -95.05986884626412 22.54054940194471, -95.05986884626412 28.57906855098932, -100.6196552761551 28.25839533868567))",0.765,0.818,0.914,3641861,2057473,143408,6031832,5634
1a3,"POLYGON ((16.53483785734515 -10.18989264617986, 22.61986494804043 -9.8193006387579, 22.61986494804043 -4.67244275538945, 16.53483785734516 -4.851647556935838, 16.53483785734515 -10.18989264617986))",0.651,0.651,0.665,2707005,2707005,2598361,2711874,8873
